,doc1,doc2,doc3,doc4,doc5,doc6,doc7,doc8,doc9,doc10,doc11,doc12,doc13,doc14,doc15
Already,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0
Also,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
Am,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
Ambergriese,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ambergris,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Amelia,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
America,0,0,1,1,0,2,0,1,2,0,0,2,1,0,0
America.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
American,2,1,0,0,0,6,7,4,2,5,1,2,2,0,1
Americans,0,0,0,0,0,2,1,0,1,1,0,0,1,0,0
Americas,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Amittai,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Among,0,0,0,0,0,0,3,0,1,0,1,0,2,0,0
Amsterdam,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
An,0,0,0,0,0,1,1,0,1,2,2,2,1,2,2
Anacharsis,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Anak,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Anatomist,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
And,9,6,9,18,19,21,33,20,21,28,25,29,48,50,20
Andes,0,0,1,0,0,0,0,1,0,0,0,0,3,2,0
Andrew,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Andromeda,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
Andromeda—indeed,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Angel,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angelo,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Angels,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Animated,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Annawon,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Anne,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Anomalous,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Another,0,0,0,1,0,0,1,0,0,0,0,3,1,0,0
Answer,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Antarctic,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0
Antilles,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Antiochus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Antony,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Antwerp,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Anvil,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Any,0,0,0,0,1,0,0,0,0,2,0,1,1,1,1
Anyhow,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Anything,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Anyway,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Apollo,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Apoplexy,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Applied,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Apply,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
April,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
Aquarius,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Arch,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Archbishop,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Arched,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Archer,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Archipelagoes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Archive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Archy,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
Archy.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Arctic,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
Are,1,0,0,1,0,0,1,0,0,1,2,1,0,4,0
Arethusa,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Argo-Navis,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Aries,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Arion,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Aristotle,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Ark,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Arkansas,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Arkite,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Arm,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Armada,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Arnold,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Aroostook,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Arrayed,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Arrived,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Arsacidean,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
Arsacides,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Art,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Artedi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Arter,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Articles—leaving,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
As,2,1,5,3,6,8,4,3,9,10,17,20,8,10,12
Asa,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ashantee,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ashore,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Asia,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0
Asiatic,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
Asiatics,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Aside,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Asphaltites,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Assume,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Assuming,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Assuredly,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Assyrian,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Astern,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Astir,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Astronomy,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
At,4,5,5,4,1,7,2,5,5,8,8,8,3,13,6
Atlantic,0,0,2,1,2,2,1,0,3,1,1,1,1,2,0
Atlantics,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Attached,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Attend,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
August,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0
Aunt,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
Australia,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Australian,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Austrian,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Author,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Authors,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Auto-da-Fés,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Availing,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Avast,0,0,0,0,1,1,1,1,0,1,1,1,1,3,0
Avatar,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Aware,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Away,0,0,0,0,0,0,0,0,0,1,0,0,1,4,2
Awful,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Aye,0,0,0,2,4,3,5,5,3,4,4,1,9,20,17
Aye.,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
Azores,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
BATTLE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BEFORE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BELFAST,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BLOODY,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOOK,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
